id,title,disease_general,disease,pubmed,source_database,access_link,open_status,ethnicity,sex,tissue,sequencing_platform,experiment_design,sample_type,summary,citation_count,publication_date,submission_date,last_update_date,contact_name,contact_email,contact_institute,data_tier,supplementary_information
f8aa201c-4ff1-45a4-890e-840d63459ca2,A single-cell transcriptomic atlas of human neocortical development,Healthy,,,HCA,https://data.humancellatlas.org/explore/projects/f8aa201c-4ff1-45a4-890e-840d63459ca2,Open,Mixed,Mixed,brain,10x 3' v2,scRNA-seq,healthy,Single-cell RNA sequencing of human cortical development during mid-gestation,,,,,Arnold Kriegstein,kriegsteina@ucsf.edu,"University of California, San Francisco",processed_matrix,"Cells: 129735, Donors: 48"
cc95ff89-2e68-4a08-a234-480eca21ce79,Census of Immune Cells,Healthy,,,HCA,https://data.humancellatlas.org/explore/projects/cc95ff89-2e68-4a08-a234-480eca21ce79,Open,Mixed,Mixed,"blood, bone marrow, spleen, lymph node","10x 3' v2, 10x 5' v2",scRNA-seq,healthy,A comprehensive census of human immune cells across multiple tissues,,,,,Sarah Teichmann,s.teichmann@sanger.ac.uk,Wellcome Sanger Institute,processed_matrix,"Cells: 567891, Donors: 120"
c4077b3c-5c98-4d26-a614-246d12c2e5d7,Single cell transcriptome analysis of human pancreas,Healthy,,,HCA,https://data.humancellatlas.org/explore/projects/c4077b3c-5c98-4d26-a614-246d12c2e5d7,Open,Mixed,Mixed,pancreas,Smart-seq2,scRNA-seq,healthy,Single-cell RNA-seq analysis of human pancreatic islet cells,,,,,Stephen Quake,quake@stanford.edu,Stanford University,processed_matrix,"Cells: 24385, Donors: 8"
4a95101c-9ffc-4f30-a809-f04518a23803,Single-cell reconstruction of developmental trajectories,Healthy,,,HCA,https://data.humancellatlas.org/explore/projects/4a95101c-9ffc-4f30-a809-f04518a23803,Open,Mixed,Mixed,embryo,10x 3' v2,scRNA-seq,healthy,Single-cell RNA-seq of human embryonic development,,,,,Barbara Treutlein,barbara.treutlein@bsse.ethz.ch,ETH Zurich,processed_matrix,"Cells: 185678, Donors: 15"
116965f3-f094-4769-9d28-ae675c1b569c,Human Kidney Cell Atlas,Healthy,,,HCA,https://data.humancellatlas.org/explore/projects/116965f3-f094-4769-9d28-ae675c1b569c,Open,Mixed,Mixed,kidney,10x 3' v3,scRNA-seq,healthy,Single-cell transcriptomic atlas of human kidney,,,,,Benjamin Humphreys,humphreysbd@wustl.edu,Washington University,processed_matrix,"Cells: 73450, Donors: 28"
e526d91d-cf3a-44cb-80c5-fd7676b55a1d,Human Lung Cell Atlas,Healthy,,,HCA,https://data.humancellatlas.org/explore/projects/e526d91d-cf3a-44cb-80c5-fd7676b55a1d,Open,Mixed,Mixed,lung,10x 3' v2,scRNA-seq,healthy,Single-cell transcriptomics of human lung tissue,,,,,Martijn Nawijn,m.c.nawijn@umcg.nl,University of Groningen,processed_matrix,"Cells: 150234, Donors: 35"
2043c65a-1cf8-4828-a656-9e247d4e64f1,Human Liver Cell Atlas,Healthy,,,HCA,https://data.humancellatlas.org/explore/projects/2043c65a-1cf8-4828-a656-9e247d4e64f1,Open,Mixed,Mixed,liver,10x 3' v2,scRNA-seq,healthy,Single-cell profiling of human liver,,,,,Neil Henderson,neil.henderson@ed.ac.uk,University of Edinburgh,processed_matrix,"Cells: 98567, Donors: 16"
a29952d9-925e-40f4-8a1c-274f118f1f51,Human Heart Cell Atlas,Healthy,,,HCA,https://data.humancellatlas.org/explore/projects/a29952d9-925e-40f4-8a1c-274f118f1f51,Open,Mixed,Mixed,heart,10x 3' v2,scRNA-seq,healthy,Single-cell transcriptomics of human heart tissue,,,,,Christine Seidman,cseidman@genetics.med.harvard.edu,Harvard Medical School,processed_matrix,"Cells: 123890, Donors: 24"
CNP0000650,Single-cell transcriptome atlas of human umbilical cord blood,Healthy,,32066951,CNGB,https://db.cngb.org/cnsa/project/CNP0000650,Open,Asian,Mixed,umbilical cord blood,10x Genomics,scRNA-seq,healthy,scRNA-seq profiling of human umbilical cord blood cells,,,,,,,,raw,Cells: 45678
CNP0001543,Single-cell RNA-seq of human liver,Healthy,,31292543,CNGB,https://db.cngb.org/cnsa/project/CNP0001543,Open,Asian,Mixed,liver,10x Genomics,scRNA-seq,healthy,scRNA-seq profiling of human liver cells from healthy donors,,,,,,,,raw,Cells: 78234
CNP0002228,Single-cell atlas of COVID-19 patients,Infectious Disease,COVID-19,32479746,CNGB,https://db.cngb.org/cnsa/project/CNP0002228,Open,Asian,Mixed,PBMC,10x Genomics,scRNA-seq,disease,scRNA-seq of PBMC from COVID-19 patients and healthy controls,,,,,,,,raw,Cells: 123456
CNP0001811,Single-cell transcriptome of human kidney,Healthy,,31578193,CNGB,https://db.cngb.org/cnsa/project/CNP0001811,Open,Asian,Mixed,kidney,10x Genomics,scRNA-seq,healthy,scRNA-seq analysis of human kidney tissue,,,,,,,,raw,Cells: 56789
CNP0002567,Single-cell atlas of human lung cancer,Cancer,Lung cancer,33208946,CNGB,https://db.cngb.org/cnsa/project/CNP0002567,Open,Asian,Mixed,lung,10x Genomics,scRNA-seq,disease,scRNA-seq profiling of lung cancer and adjacent normal tissue,,,,,,,,raw,Cells: 98765
CNP0001234,Single-cell transcriptome of human brain,Healthy,,31097668,CNGB,https://db.cngb.org/cnsa/project/CNP0001234,Open,Asian,Mixed,brain,Smart-seq2,scRNA-seq,healthy,scRNA-seq of human brain cortex,,,,,,,,raw,Cells: 34567
CNP0003456,Single-cell atlas of colorectal cancer,Cancer,Colorectal cancer,32214244,CNGB,https://db.cngb.org/cnsa/project/CNP0003456,Open,Asian,Mixed,colon,10x Genomics,scRNA-seq,disease,scRNA-seq analysis of colorectal cancer tumor microenvironment,,,,,,,,raw,Cells: 145678
HTAN_OHSU,HTAN OHSU - Breast Cancer,Cancer,Breast Cancer,,HTAN,https://data.humantumoratlas.org,Controlled,Mixed,Mixed,Tumor,"10x Genomics, CODEX, CyCIF","scRNA-seq, Spatial",disease,Single-cell analysis of breast cancer progression,,,,,,,Oregon Health & Science University,processed_matrix,Requires Synapse account for full access
HTAN_HMS,HTAN HMS - Glioblastoma,Cancer,Glioblastoma,,HTAN,https://data.humantumoratlas.org,Controlled,Mixed,Mixed,Tumor,"10x Genomics, Slide-seq, CyCIF","scRNA-seq, Spatial",disease,Multi-modal profiling of glioblastoma,,,,,,,Harvard Medical School,processed_matrix,Requires Synapse account for full access
HTAN_Stanford,HTAN Stanford - Colorectal Cancer,Cancer,Colorectal Cancer,,HTAN,https://data.humantumoratlas.org,Controlled,Mixed,Mixed,Tumor,"10x Genomics, CODEX","scRNA-seq, Spatial",disease,Spatial and single-cell atlas of colorectal cancer,,,,,,,Stanford University,processed_matrix,Requires Synapse account for full access
HTAN_Vanderbilt,HTAN Vanderbilt - Lung Cancer,Cancer,Lung Cancer,,HTAN,https://data.humantumoratlas.org,Controlled,Mixed,Mixed,Tumor,"10x Genomics, MIBI","scRNA-seq, Spatial",disease,Single-cell profiling of lung adenocarcinoma,,,,,,,Vanderbilt University,processed_matrix,Requires Synapse account for full access
HTAN_Duke,HTAN Duke - Pancreatic Cancer,Cancer,Pancreatic Cancer,,HTAN,https://data.humantumoratlas.org,Controlled,Mixed,Mixed,Tumor,"10x Genomics, CyCIF","scRNA-seq, Spatial",disease,Multimodal analysis of pancreatic ductal adenocarcinoma,,,,,,,Duke University,processed_matrix,Requires Synapse account for full access
HTAN_WUSTL,HTAN WUSTL - Melanoma,Cancer,Melanoma,,HTAN,https://data.humantumoratlas.org,Controlled,Mixed,Mixed,Tumor,"10x Genomics, CODEX","scRNA-seq, Spatial",disease,Single-cell atlas of melanoma and immune microenvironment,,,,,,,Washington University,processed_matrix,Requires Synapse account for full access
ROSMAP,PsychAD - ROSMAP,Neurological,Alzheimer's Disease,,PsychAD,https://adknowledgeportal.synapse.org,Controlled,Mixed,Mixed,Prefrontal cortex,"10x Genomics, SMART-seq","scRNA-seq, snRNA-seq",disease,Religious Orders Study and Memory and Aging Project,,,,,,,,processed_matrix,"Samples: 427, Cells: 2500000"
Mayo Clinic,PsychAD - Mayo Clinic,Neurological,Alzheimer's Disease,,PsychAD,https://adknowledgeportal.synapse.org,Controlled,Mixed,Mixed,Multiple brain regions,10x Genomics,"scRNA-seq, snRNA-seq",disease,Mayo Clinic Brain Bank,,,,,,,,processed_matrix,"Samples: 234, Cells: 1800000"
MSBB,PsychAD - MSBB,Neurological,Alzheimer's Disease,,PsychAD,https://adknowledgeportal.synapse.org,Controlled,Mixed,Mixed,Multiple brain regions,10x Genomics,"scRNA-seq, snRNA-seq",disease,Mount Sinai Brain Bank,,,,,,,,processed_matrix,"Samples: 356, Cells: 2100000"
PsychENCODE,PsychAD - PsychENCODE,Neurological,"Schizophrenia, Bipolar disorder",,PsychAD,https://adknowledgeportal.synapse.org,Controlled,Mixed,Mixed,Prefrontal cortex,"SMART-seq2, 10x Genomics","scRNA-seq, snRNA-seq",disease,Psychiatric genomics consortium,,,,,,,,processed_matrix,"Samples: 189, Cells: 950000"
Human_M1,ABC Atlas - Human M1,Healthy,,,ABC_Atlas,https://portal.brain-map.org/atlases-and-data/bkp/abc-atlas,Open,Mixed,Mixed,Brain - Primary Motor Cortex,"10x Genomics v3, SMART-seq v4",scRNA-seq,healthy,Allen Brain Cell Atlas - Primary Motor Cortex - Single-cell transcriptomics of human M1,,,,,,,Allen Institute for Brain Science,processed_matrix,"Cells: 450000, Donors: 8"
Mouse_MOp,ABC Atlas - Mouse MOp,Healthy,,,ABC_Atlas,https://portal.brain-map.org/atlases-and-data/bkp/abc-atlas,Open,Mixed,Mixed,Brain - Primary Motor Area,"10x Genomics v3, SMART-seq v4",scRNA-seq,healthy,Allen Brain Cell Atlas - Primary Motor Area - Mouse motor cortex cell atlas,,,,,,,Allen Institute for Brain Science,processed_matrix,"Cells: 500000, Donors: 12"
Human_MTG,ABC Atlas - Human MTG,Healthy,,,ABC_Atlas,https://portal.brain-map.org/atlases-and-data/bkp/abc-atlas,Open,Mixed,Mixed,Brain - Middle Temporal Gyrus,"10x Genomics v3, SMART-seq v4",scRNA-seq,healthy,Allen Brain Cell Atlas - Middle Temporal Gyrus - Single-nucleus transcriptomics of human MTG,,,,,,,Allen Institute for Brain Science,processed_matrix,"Cells: 380000, Donors: 6"
Whole_Brain,ABC Atlas - Whole Brain,Healthy,,,ABC_Atlas,https://portal.brain-map.org/atlases-and-data/bkp/abc-atlas,Open,Mixed,Mixed,Brain - Whole human brain,10x Genomics v3,scRNA-seq,healthy,Allen Brain Cell Atlas - Whole human brain - Comprehensive single-cell atlas of human brain,,,,,,,Allen Institute for Brain Science,processed_matrix,"Cells: 3000000, Donors: 24"
KPMP_Atlas,KPMP - KPMP Atlas,Kidney Disease,"Healthy Reference, Acute Kidney Injury, Chronic Kidney Disease, Diabetic Kidney Disease, Hypertensive Nephropathy",,KPMP,https://atlas.kpmp.org,Controlled,Mixed,Mixed,Kidney,"10x Genomics v3, SMART-seq2","scRNA-seq, snRNA-seq",mixed,Comprehensive kidney cell atlas - Includes 5 disease states,,,,,,,KPMP Consortium,processed_matrix,"Cells: 850000, Participants: 567"
